Parlamentare,id,Partito,dataIngresso,536001,536002,540005,540011,540014,540006,540009,540003,540002,540012,540013,540010,540007,540008,540004,540001,541009,541005,541002,541001,541004,541006,541003,541008,541007,548010,548012,548022,548036,548016,548018,548031,548011,548017,548030,548019,548007,548021,548023,548014,548037,548029,548020,548034,548002,548004,548015,548008,548024,548027,548013,548003,548035,548025,548005,548033,548026,548028,548001,548009,548006,548032,549021,549028,549024,549025,549032,549029,549005,549030,549006,549013,549004,549017,549018,549031,549020,549003,549001,549011,549019,549007,549010,549012,549002,549009,549022,549015,549008,549026,549014,549023,549027,549016,550002,550007,550001,550003,550005,550006,550004,550008
ROSATO ETTORE,300674,IV-IC'E',2019-09-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
GIACOMELLI ANTONELLO,301056,PD,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMPELLI FABIO,301436,FDI,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole
TONDO RENZO,301448,MISTO,2018-03-23,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Non ha votato
GELMINI MARIASTELLA,301449,FI,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
FIANO EMANUELE,301452,PD,2018-03-27,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario
GRIMOLDI PAOLO,301455,LEGA,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
FRASSINETTI PAOLA,301457,FDI,2018-03-27,Astensione,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Astensione,Astensione,Favorevole,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione,Favorevole,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Favorevole,Favorevole,Non ha votato,Contrario,Favorevole,Astensione,Contrario,Astensione,Astensione,Astensione,Favorevole,Astensione,Favorevole,Favorevole,Astensione,Favorevole,Favorevole,Astensione,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole
RAVETTO LAURA,301459,FI,2018-03-27,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario
ORLANDO ANDREA,301463,PD,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
SANGA GIOVANNI,301465,PD,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LO MONTE CARMELO,301477,LEGA,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
PICCHI GUGLIELMO,301500,LEGA,2018-03-27,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Non ha votato
