"dataSeduta","numeroSeduta","votazione","numero","oggetto","esito","presenti","maggioranza","numeroLegale","votanti","favorevoli","contrari","astenuti","presidente"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-46",46,"Em. 3.0.3, Nugnes e altri","respinto",232,114,144,227,93,133,1,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-45",45,"Em. 3.0.2, Comaroli","respinto",236,115,144,229,93,134,2,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-44",44,"Em. 3.0.1, Comaroli","respinto",240,119,144,236,98,138,0,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-43",43,"Em. 3.16, Piccoli e altri","respinto",240,119,144,236,97,139,0,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-42",42,"Em. 3.15, Donno e altri","respinto",238,118,144,234,97,136,1,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-41",41,"Em. 3.14, Donno e altri","respinto",239,117,144,233,95,138,0,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-40",40,"Em. 3.12, Bellot e altri","respinto",244,121,144,241,99,142,0,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-39",39,"Em. 3.11, Donno e altri","respinto",237,116,144,231,93,138,0,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-38",38,"Em. 3.10, Catalfo e altri","respinto",241,119,144,236,96,140,0,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-37",37,"Em. 3.9, Donno e altri","respinto",243,121,144,240,98,142,0,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-36",36,"Em. 3.8, Caridi e Puppato","respinto",241,119,144,237,96,140,1,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-35",35,"Em. 3.7, Piccoli e Ceroni","respinto",234,114,144,227,89,138,0,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-34",34,"Em. 3.6, Endrizzi e altri","respinto",238,118,144,234,94,140,0,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-33",33,"Em. 3.5, Donno e altri","respinto",238,117,144,232,94,138,0,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-32",32,"Em. 3.4, Endrizzi e altri","respinto",229,114,144,226,87,137,2,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-31",31,"Em. 3.3, Bernini","respinto",242,121,144,241,97,142,2,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-30",30,"Em. 3.2, Caridi","respinto",237,117,144,232,90,141,1,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-29",29,"Em. 3.1, Uras e altri","respinto",240,120,144,238,96,141,1,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-28",28,"Em. 2.8, Bertorotta e altri","respinto",243,121,144,240,85,144,11,"http://dati.senato.it/senatore/6472"
2015-11-25,542,"http://dati.senato.it/votazione/17-542-27",27,"Em. 2.7, Mangili e altri","respinto",242,121,144,240,90,142,8,"http://dati.senato.it/senatore/6472"
