Parlamentare;Espressione;LuogoN
ROSSO Roberto (FI);Assente;Piemonte 1
ROSTAN Michela (LeU);Favorevole;Campania 1
ROTELLI Mauro (FdI);Contrario;Lazio 2
ROTONDI Gianfranco (FI);Assente;Abruzzo
ROTTA Alessia (PD);Favorevole;Toscana
RUFFINO Daniela (FI);Contrario;Piemonte 1
RUGGIERI Andrea (FI);Assente;Lazio 1
RUGGIERO Francesca Anna (M5S);Assente;Puglia
RUOCCO Carla (M5S);Assente;Lazio 1
RUSSO Giovanni (M5S);Assente;Campania 2
RUSSO Paolo (FI);Assente;Campania 1
SACCANI Gloria (FI);Contrario;Lombardia 1
SAITTA Eugenio (M5S);Favorevole;Sicilia 2
SALAFIA Angela (M5S);Favorevole;Lazio 1
SALTAMARTINI Barbara (Lega);Contrario;Lazio 2
SANGREGORIO Eugenio (Misto);Contrario;America meridionale
SANTELLI Jole (FI);Assente;Calabria
SAPIA Francesco (M5S);Favorevole;Calabria
SARLI Doriana (M5S);Favorevole;Campania 1
SARRO Carlo (FI);Contrario;Campania 1
SARTI Giulia (M5S);Favorevole;Emilia-Romagna
SASSO Rossano (Lega);Contrario;Puglia
SAVINO Elvira (FI);Assente;Puglia
SAVINO Sandra (FI);Contrario;Friuli-Venezia Giulia
SCAGLIUSI Emanuele (M5S);Favorevole;Puglia
SCALFAROTTO Ivan (IV);In missione;Lombardia 1
SCANU Lucia (M5S);Favorevole;Sardegna
SCERRA Filippo (M5S);Favorevole;Sicilia 1
SCHIRÒ Angela (PD);Favorevole;Europa
SCHULLIAN Manfred (Misto);In missione;Trentino-Alto Adige
SCOMA Francesco (FI);Assente;Sicilia 1
SCUTELLÀ Elisa (M5S);Favorevole;Calabria
SEGNERI Enrica (M5S);Favorevole;Lazio 2
SENSI Filippo (PD);Favorevole;Toscana
SERRACCHIANI Debora (PD);Assente;Friuli-Venezia Giulia
SERRITELLA Davide (M5S);Favorevole;Piemonte 1
SGARBI Vittorio (Misto);Assente;Emilia-Romagna
SIANI Paolo (PD);Assente;Campania 1
SIBILIA Carlo (M5S);Assente;Campania 2
SIBILIA Cosimo (FI);Assente;Campania 2
SILLI Giorgio (Misto);Contrario;Toscana
SILVESTRI Francesco (M5S);Favorevole;Lazio 1
SILVESTRI Rachele (M5S);Favorevole;Marche
SILVESTRONI Marco (FdI);Contrario;Lazio 1
SIRACUSANO Matilde (FI);Assente;Sicilia 1
SIRAGUSA Elisa (M5S);Favorevole;Europa
SISTO Francesco Paolo (FI);Contrario;Puglia
SODANO Michele (M5S);Favorevole;Sicilia 1
SORTE Alessandro (Misto);Assente;Lombardia 3
SOVERINI Serse (PD);Favorevole;Emilia-Romagna
SOZZANI Diego (FI);Assente;Piemonte 2
SPADAFORA Vincenzo (M5S);Assente;Campania 1
SPADONI Maria Edera (M5S);Presidente di turno;Emilia-Romagna
SPENA Maria (FI);Assente;Lazio 1
SPERANZA Roberto (LeU);Assente;Toscana
SPESSOTTO Arianna (M5S);Favorevole;Veneto 1
SPORTIELLO Gilda (M5S);Favorevole;Campania 1
SQUERI Luca (FI);Assente;Lombardia 1
STEFANI Alberto (Lega);Assente;Veneto 2
STUMPO Nico (LeU);Assente;Calabria
SURIANO Simona (M5S);Favorevole;Sicilia 2
SUT Luca (M5S);Favorevole;Friuli-Venezia Giulia
SUTTO Mauro (Lega);Contrario;Trentino-Alto Adige
TABACCI Bruno (Misto);Favorevole;Lombardia 1
TARANTINO Leonardo (Lega);Contrario;Lombardia 2
TARTAGLIONE Annaelsa (FI);Contrario;Puglia
TASSO Antonio (Misto);In missione;Puglia
TATEO Anna Rita (Lega);Contrario;Puglia
TERMINI Guia (M5S);Favorevole;Lombardia 3
TERZONI Patrizia (M5S);Favorevole;Marche
TESTAMENTO Rosa Alba (M5S);Favorevole;Molise
TIRAMANI Paolo (Lega);Contrario;Piemonte 2
TOCCAFONDI Gabriele (IV);Favorevole;Toscana
TOCCALINI Luca (Lega);Contrario;Lombardia 1
TOFALO Angelo (M5S);Favorevole;Campania 2
TOMASI Maura (Lega);Contrario;Emilia-Romagna
TOMBOLATO Giovanni Battista (Lega);Contrario;Emilia-Romagna
TONDO Renzo (Misto);Contrario;Friuli-Venezia Giulia
TONELLI Gianni (Lega);Assente;Emilia-Romagna
TOPO Raffaele (PD);Favorevole;Campania 1
TORTO Daniela (M5S);Favorevole;Abruzzo
TRANCASSINI Paolo (FdI);Contrario;Lazio 2
TRANO Raffaele (M5S);Favorevole;Lazio 2
TRAVERSI Roberto (M5S);Assente;Liguria
TRIPIEDI Davide (M5S);Favorevole;Lombardia 1
TRIPODI Elisa (M5S);Favorevole;Valle d'Aosta
TRIPODI Maria (FI);Contrario;Calabria
TRIZZINO Giorgio (M5S);Favorevole;Sicilia 1
TROIANO Francesca (M5S);Assente;Puglia
TUCCI Riccardo (M5S);Favorevole;Calabria
TURRI Roberto (Lega);Contrario;Veneto 2
TUZI Manuel (M5S);Favorevole;Lazio 1
UNGARO Massimo (IV);Favorevole;Europa
VACCA Gianluca (M5S);Favorevole;Abruzzo
VALBUSA Vania (Lega);Contrario;Veneto 2
VALENTE Simone (M5S);Favorevole;Liguria
VALENTINI Valentino (FI);Assente;Lombardia 1
VALLASCAS Andrea (M5S);Favorevole;Sardegna
VALLOTTO Sergio (Lega);Contrario;Veneto 1
VARCHI Carolina (FdI);Contrario;Sicilia 1
VARRICA Adriano (M5S);Favorevole;Sicilia 1
VAZIO Franco (PD);Favorevole;Liguria
VERINI Walter (PD);Favorevole;Umbria
VERSACE Giuseppina (FI);Assente;Lombardia 2
VIANELLO Giovanni (M5S);Favorevole;Puglia
VIETINA Simona (FI);Contrario;Emilia-Romagna
VIGNAROLI Stefano (M5S);In missione;Lazio 1
VILLANI Virginia (M5S);Favorevole;Campania 2
VILLAROSA Alessio (M5S);Assente;Sicilia 2
VINCI Gianluca (Lega);Assente;Emilia-Romagna
VISCOMI Antonio (PD);Favorevole;Calabria
VITIELLO Catello (IV);Favorevole;Campania 1
VITO Elio (FI);Assente;Puglia
VIVIANI Lorenzo (Lega);Contrario;Liguria
VIZZINI Gloria (Misto);Assente;Toscana
VOLPI Leda (M5S);In missione;Liguria
VOLPI Raffaele (Lega);In missione;Lombardia 4
ZAN Alessandro (PD);Favorevole;Veneto 2
ZANELLA Federica (FI);Assente;Lombardia 1
ZANETTIN Pierantonio (FI);Contrario;Veneto 2
ZANGRILLO Paolo (FI);Contrario;Piemonte 1
ZANICHELLI Davide (M5S);Favorevole;Emilia-Romagna
ZARDINI Diego (PD);Favorevole;Veneto 2
ZENNARO Antonio (M5S);Favorevole;Abruzzo
ZICCHIERI Francesco (Lega);Contrario;Lazio 2
ZIELLO Edoardo (Lega);Contrario;Toscana
ZOFFILI Eugenio (Lega);In missione;Lombardia 2
ZOLEZZI Alberto (M5S);Favorevole;Lombardia 4
ZORDAN Adolfo (Lega);Contrario;Veneto 2
ZUCCONI Riccardo (FdI);Contrario;Toscana
