Parlamentare;Espressione;LuogoN
CASINO Michele (FI);Contrario;Basilicata
CASO Andrea (M5S);Favorevole;Campania 1
CASSESE Gianpaolo (M5S);Favorevole;Puglia
CASSINELLI Roberto (FI);Contrario;Liguria
CASTELLI Laura (M5S);Assente;Piemonte 1
CASTIELLO Giuseppina (Lega);Assente;Campania 1
CATALDI Roberto (M5S);Assente;Marche
CATTANEO Alessandro (FI);Contrario;Lombardia 4
CATTOI Maurizio (M5S);Favorevole;Marche
CATTOI Vanessa (Lega);Contrario;Trentino-Alto Adige
CAVANDOLI Laura (Lega);Contrario;Emilia-Romagna
CECCANTI Stefano (PD);Favorevole;Toscana
CECCHETTI Fabrizio (Lega);Contrario;Lombardia 1
CECCONI Andrea (Misto);Favorevole;Marche
CENNI Susanna (PD);Favorevole;Toscana
CENTEMERO Giulio (Lega);Contrario;Lombardia 3
CESTARI Emanuele (Lega);Contrario;Emilia-Romagna
CHIAZZESE Giuseppe (M5S);Favorevole;Sicilia 1
CIABURRO Monica (FdI);Contrario;Piemonte 2
CIAMPI Lucia (PD);Favorevole;Toscana
CILLIS Luciano (M5S);Favorevole;Basilicata
CIMINO Rosalba (M5S);Favorevole;Sicilia 1
CIPRINI Tiziana (M5S);Favorevole;Umbria
CIRIELLI Edmondo (FdI);In missione;Campania 2
COIN Dimitri (Lega);Contrario;Veneto 1
COLANINNO Matteo (IV);Favorevole;Lombardia 4
COLLA Jari (Lega);Contrario;Lombardia 1
COLLETTI Andrea (M5S);In missione;Abruzzo
COLMELLERE Angela (Lega);Contrario;Veneto 1
COLUCCI Alessandro (Misto);In missione;Lombardia 3
COMAROLI Silvana (Lega);Contrario;Lombardia 4
COMENCINI Vito (Lega);Contrario;Veneto 2
COMINARDI Claudio (M5S);Favorevole;Lombardia 3
CONTE Federico (LeU);Favorevole;Campania 2
CORDA Emanuela (M5S);Favorevole;Sardegna
CORNELI Valentina (M5S);Favorevole;Abruzzo
CORTELAZZO Piergiorgio (FI);Assente;Veneto 2
COSTA Enrico (FI);Assente;Piemonte 2
COSTANZO Jessica (M5S);Favorevole;Piemonte 1
COVOLO Silvia (Lega);Contrario;Veneto 2
CRIPPA Andrea (Lega);Contrario;Lombardia 1
CRIPPA Davide (M5S);Favorevole;Piemonte 2
CRISTINA Mirella (FI);Contrario;Piemonte 2
CRITELLI Francesco (PD);Favorevole;Emilia-Romagna
CUBEDDU Sebastiano (M5S);Favorevole;Lazio 1
CUNIAL Sara (Misto);Favorevole;Veneto 2
CURRÒ Giovanni (M5S);Favorevole;Lombardia 2
D'ALESSANDRO Camillo (IV);Favorevole;Abruzzo
D'AMBROSIO Giuseppe (M5S);Assente;Puglia
D'ARRANDO Celeste (M5S);Favorevole;Piemonte 1
D'ATTIS Mauro (FI);Contrario;Puglia
D'ERAMO Luigi (Lega);Contrario;Abruzzo
D'ETTORE Felice Maurizio (FI);Assente;Toscana
D'INCÀ Federico (M5S);Favorevole;Veneto 1
D'IPPOLITO Giuseppe (M5S);Favorevole;Calabria
D'ORSO Valentina (M5S);Favorevole;Sicilia 1
D'UVA Francesco (M5S);Favorevole;Sicilia 2
DADONE Fabiana (M5S);Assente;Piemonte 2
DAGA Federica (M5S);Favorevole;Lazio 1
DAL MORO Gian Pietro (PD);Favorevole;Veneto 2
DALL'OSSO Matteo (FI);Contrario;Emilia-Romagna
DARA Andrea (Lega);Contrario;Lombardia 4
DE ANGELIS Sara (Lega);Contrario;Lazio 1
DE CARLO Luca (FdI);Contrario;Veneto 1
DE CARLO Sabrina (M5S);Favorevole;Friuli-Venezia Giulia
DE FILIPPO Vito (IV);Favorevole;Basilicata
DE GIORGI Rosalba (M5S);Favorevole;Puglia
DE GIROLAMO Carlo Ugo (M5S);Favorevole;Emilia-Romagna
DE LORENZIS Diego (M5S);Favorevole;Puglia
DE LORENZO Rina (M5S);Assente;Campania 1
DE LUCA Piero (PD);Favorevole;Campania 2
DE MARIA Andrea (PD);Favorevole;Emilia-Romagna
DE MARTINI Guido (Lega);Contrario;Sardegna
DE MENECH Roger (PD);Favorevole;Veneto 1
DE MICHELI Paola (PD);Assente;Emilia-Romagna
DE TOMA Massimiliano (M5S);Favorevole;Lazio 1
DEIANA Paola (M5S);Favorevole;Sardegna
DEIDDA Salvatore (FdI);Assente;Sardegna
DEL BARBA Mauro (IV);In missione;Lombardia 2
DEL BASSO DE CARO Umberto (PD);Favorevole;Campania 2
DEL GROSSO Daniele (M5S);Favorevole;Abruzzo
DEL MONACO Antonio (M5S);Favorevole;Campania 2
DEL RE Emanuela Claudia (M5S);Assente;Lazio 1
DEL SESTO Margherita (M5S);Favorevole;Campania 2
DELLA FRERA Guido (FI);Assente;Lombardia 1
DELMASTRO DELLE VEDOVE Andrea (FdI);Contrario;Piemonte 2
DELRIO Graziano (PD);Favorevole;Emilia-Romagna
DI GIORGI Rosa Maria (PD);Favorevole;Toscana
DI LAURO Carmela (M5S);Favorevole;Campania 1
DI MAIO Luigi (M5S);Assente;Campania 1
DI MAIO Marco (IV);Favorevole;Emilia-Romagna
DI MURO Flavio (Lega);Contrario;Liguria
DI SAN MARTINO LORENZATO DI IV Luis Roberto (Lega);Assente;America meridionale
DI SARNO Gianfranco (M5S);Favorevole;Campania 1
DI STASIO Iolanda (M5S);Favorevole;Campania 1
DI STEFANO Manlio (M5S);Assente;Lombardia 1
DIENI Federica (M5S);In missione;Calabria
DONINA Giuseppe (Lega);Contrario;Lombardia 3
DONNO Leonardo (M5S);Favorevole;Puglia
DONZELLI Giovanni (FdI);Contrario;Toscana
DORI Devis (M5S);Favorevole;Lombardia 3
DURIGON Claudio (Lega);Assente;Lazio 2
EHM Yana Chiara (M5S);Favorevole;Toscana
EMILIOZZI Mirella (M5S);Favorevole;Marche
EPIFANI Ettore Guglielmo (LeU);Favorevole;Sicilia 2
ERMELLINO Alessandra (M5S);Favorevole;Puglia
FANTINATI Mattia (M5S);Favorevole;Veneto 2
FANTUZ Marica (Lega);Contrario;Veneto 1
FARO Marialuisa (M5S);Favorevole;Puglia
FASANO Vincenzo (FI);Contrario;Campania 2
FASCINA Marta Antonia (FI);Contrario;Campania 1
FASSINA Stefano (LeU);Favorevole;Lazio 1
FASSINO Piero (PD);Favorevole;Emilia-Romagna
FATUZZO Carlo (FI);Assente;Lombardia 2
FEDERICO Antonio (M5S);Favorevole;Molise
FERRAIOLI Marzia (FI);Assente;Campania 2
FERRARESI Vittorio (M5S);In missione;Emilia-Romagna
FERRARI Roberto Paolo (Lega);Contrario;Lombardia 2
FERRI Cosimo Maria (IV);Favorevole;Toscana
FERRO Wanda (FdI);Contrario;Calabria
FIANO Emanuele (PD);Favorevole;Lombardia 1
FICARA Paolo (M5S);Favorevole;Sicilia 2
FIORAMONTI Lorenzo (M5S);In missione;Lazio 1
FIORINI Benedetta (FI);Assente;Emilia-Romagna
FLATI Francesca (M5S);Favorevole;Lazio 1
FOGLIANI Ketti (Lega);Contrario;Veneto 1
FONTANA Gregorio (FI);Assente;Lombardia 3
FONTANA Ilaria (M5S);Favorevole;Lazio 2
FONTANA Lorenzo (Lega);Assente;Veneto 2
FORCINITI Francesco (M5S);Favorevole;Calabria
FORMENTINI Paolo (Lega);In missione;Lombardia 3
FORNARO Federico (LeU);Favorevole;Piemonte 2
FOSCOLO Sara (Lega);Contrario;Liguria
FOTI Tommaso (FdI);Assente;Emilia-Romagna
FRACCARO Riccardo (M5S);Assente;Trentino-Alto Adige
FRAGOMELI Gian Mario (PD);Favorevole;Lombardia 1
FRAILIS Andrea (PD);Favorevole;Sardegna
FRANCESCHINI Dario (PD);Favorevole;Emilia-Romagna
FRASSINETTI Paola (FdI);Assente;Lombardia 1
FRASSINI Rebecca (Lega);Contrario;Lombardia 3
FRATE Flora (M5S);Favorevole;Campania 1
FRATOIANNI Nicola (LeU);Favorevole;Piemonte 1
FREGOLENT Silvia (IV);Favorevole;Piemonte 1
FRUSONE Luca (M5S);Favorevole;Lazio 2
FURGIUELE Domenico (Lega);Contrario;Calabria
FUSACCHIA Alessandro (Misto);Favorevole;Europa
GADDA Maria Chiara (IV);Favorevole;Lombardia 2
GAGLIARDI Manuela (Misto);Assente;Liguria
GAGNARLI Chiara (M5S);Favorevole;Toscana
GALANTINO Davide (FdI);Assente;Puglia
GALIZIA Francesca (M5S);Favorevole;Puglia
GALLI Dario (Lega);Contrario;Lombardia 2
GALLINELLA Filippo (M5S);Favorevole;Umbria
GALLO Luigi (M5S);Favorevole;Campania 1
GARAVAGLIA Massimo (Lega);Assente;Lombardia 1
GARIGLIO Davide (PD);Favorevole;Piemonte 1
GASTALDI Flavio (Lega);Contrario;Piemonte 2
GAVA Vannia (Lega);Assente;Friuli-Venezia Giulia
GEBHARD Renate (Misto);Favorevole;Trentino-Alto Adige
GELMINI Mariastella (FI);Contrario;Lombardia 3
GEMMATO Marcello (FdI);Contrario;Puglia
GENTILONI SILVERI Paolo (PD);Assente;Lazio 1
GERARDI Francesca (Lega);Contrario;Lazio 2
GERMANÀ Antonino (FI);Assente;Sicilia 2
GIACCONE Andrea (Lega);Contrario;Piemonte 2
GIACHETTI Roberto (IV);Favorevole;Toscana
GIACOMELLI Antonello (PD);Favorevole;Toscana
GIACOMETTI Antonietta (Lega);Contrario;Veneto 2
GIACOMETTO Carlo (FI);Assente;Piemonte 1
GIACOMONI Sestino (FI);Contrario;Lazio 1
GIANNONE Veronica (Misto);Favorevole;Puglia
GIARRIZZO Andrea (M5S);Favorevole;Sicilia 2
GIGLIO VIGNA Alessandro (Lega);Contrario;Piemonte 1
GIORDANO Concetta (M5S);Favorevole;Campania 1
GIORGETTI Giancarlo (Lega);Contrario;Lombardia 2
GIORGIS Andrea (PD);Favorevole;Piemonte 1
GIULIANO Carla (M5S);Favorevole;Puglia
GIULIODORI Paolo (M5S);Favorevole;Marche
GOBBATO Claudia (Lega);Contrario;Lombardia 4
GOLINELLI Guglielmo (Lega);Assente;Emilia-Romagna
GRANDE Marta (M5S);Favorevole;Lazio 2
GRIBAUDO Chiara (PD);Favorevole;Piemonte 2
GRILLO Giulia (M5S);Favorevole;Sicilia 2
GRIMALDI Nicola (M5S);Favorevole;Campania 2
GRIMOLDI Paolo (Lega);In missione;Lombardia 1
GRIPPA Carmela (M5S);Favorevole;Abruzzo
GUBITOSA Michele (M5S);Favorevole;Campania 2
GUERINI Lorenzo (PD);Assente;Lombardia 4
GUIDESI Guido (Lega);Assente;Lombardia 4
GUSMEROLI Alberto Luigi (Lega);Contrario;Piemonte 2
IANARO Angela (M5S);Favorevole;Campania 2
IEZZI Igor Giancarlo (Lega);Contrario;Lombardia 1
INCERTI Antonella (PD);Favorevole;Emilia-Romagna
INVERNIZZI Cristian (Lega);Contrario;Lombardia 3
INVIDIA Niccolò (M5S);Assente;Lombardia 2
IORIO Marianna (M5S);Favorevole;Campania 2
IOVINO Luigi (M5S);Favorevole;Campania 1
L'ABBATE Giuseppe (M5S);Assente;Puglia
LA MARCA Francesca (PD);Assente;America settentrionale e centrale
LABRIOLA Vincenza (FI);Contrario;Puglia
LACARRA Marco (PD);Favorevole;Puglia
LAPIA Mara (M5S);Assente;Sardegna
LATINI Giorgia (Lega);Contrario;Marche
LATTANZIO Paolo (M5S);Favorevole;Puglia
LAZZARINI Arianna (Lega);Assente;Veneto 2
LEGNAIOLI Donatella (Lega);Contrario;Toscana
LEPRI Stefano (PD);Favorevole;Piemonte 1
LIBRANDI Gianfranco (IV);Favorevole;Lombardia 1
LICATINI Caterina (M5S);Favorevole;Sicilia 1
LIUNI Marzio (Lega);Contrario;Piemonte 2
LIUZZI Mirella (M5S);Assente;Basilicata
LO MONTE Carmelo (Misto);Assente;Sicilia 2
LOCATELLI Alessandra (Lega);Contrario;Lombardia 2
LOLINI Mario (Lega);Assente;Toscana
LOLLOBRIGIDA Francesco (FdI);Assente;Lazio 2
LOMBARDO Antonio (M5S);Favorevole;Sicilia 1
LONGO Fausto Guilherme (Misto);Favorevole;America meridionale
LOREFICE Marialucia (M5S);In missione;Sicilia 2
LORENZIN Beatrice (PD);Favorevole;Emilia-Romagna
LORENZONI Eva (Lega);Contrario;Lombardia 3
LORENZONI Gabriele (M5S);Favorevole;Lazio 2
LOSACCO Alberto (PD);Favorevole;Piemonte 2
LOSS Martina (Lega);Contrario;Trentino-Alto Adige
LOTTI Luca (PD);Favorevole;Toscana
LOVECCHIO Giorgio (M5S);Favorevole;Puglia
LUCASELLI Ylenjia (FdI);Assente;Emilia-Romagna
LUCCHINI Elena (Lega);Contrario;Lombardia 4
LUPI Maurizio Enzo (Misto);In missione;Lombardia 2
MACCANTI Elena (Lega);Contrario;Piemonte 1
MACINA Anna (M5S);Favorevole;Puglia
MADIA Maria Anna (PD);Favorevole;Lazio 1
MAGGIONI Marco (Lega);Contrario;Lombardia 4
MAGI Riccardo (Misto);Assente;Lazio 1
MAGLIONE Pasquale (M5S);Favorevole;Campania 2
MAMMÌ Stefania (M5S);Assente;Lombardia 1
MANCA Alberto (M5S);Favorevole;Sardegna
MANCA Gavino (PD);Favorevole;Sardegna
MANCINI Claudio (PD);Assente;Lazio 2
MANDELLI Andrea (FI);Assente;Lombardia 1
MANIERO Alvise (M5S);Assente;Veneto 1
MANTOVANI Lucrezia Maria Benedetta (FdI);Contrario;Lombardia 3
MANZATO Franco (Lega);Contrario;Veneto 1
MANZO Teresa (M5S);Favorevole;Campania 1
MARAIA Generoso (M5S);Favorevole;Campania 2
MARATTIN Luigi (IV);Assente;Emilia-Romagna
MARCHETTI Riccardo Augusto (Lega);Contrario;Umbria
MARIANI Felice (M5S);Favorevole;Lazio 1
MARIN Marco (FI);Contrario;Veneto 2
MARINO Bernardo (M5S);Favorevole;Sardegna
MARROCCO Patrizia (FI);In missione;Lazio 1
MARTINA Maurizio (PD);Favorevole;Lombardia 3
MARTINCIGLIO Vita (M5S);Favorevole;Sicilia 1
MARTINO Antonio (FI);Assente;Abruzzo
MARZANA Maria (M5S);In missione;Sicilia 2
MASCHIO Ciro (FdI);Assente;Veneto 2
MASI Angela (M5S);Favorevole;Puglia
MATURI Filippo (Lega);Contrario;Lazio 2
MAURI Matteo (PD);In missione;Lombardia 1
MAZZETTI Erica (FI);Contrario;Toscana
MELICCHIO Alessandro (M5S);Favorevole;Calabria
MELILLI Fabio (PD);Favorevole;Lazio 2
MELONI Giorgia (FdI);Assente;Lazio 2
MENGA Rosa (M5S);Favorevole;Puglia
MICELI Carmelo (PD);Favorevole;Sicilia 1
MICILLO Salvatore (M5S);Favorevole;Campania 1
MIGLIORE Gennaro (IV);Favorevole;Campania 1
MIGLIORINO Luca (M5S);Favorevole;Toscana
