senatore,nome,cognome,sesso,legislatura,inizioMandato,fineMandato,tipoMandato,tipoFineMandato,dataNascita,cittaNascita,provinciaNascita,nazioneNascita
http://dati.senato.it/senatore/33863,Marco,Scurria,M,19,2022-10-13,,elettivo,,1967-05-18,Roma,Roma,Italia
http://dati.senato.it/senatore/32435,Liliana,Segre,F,19,2022-10-13,,"a vita, di nomina del Presidente della Repubblica",,1930-09-10,Milano,Milano,Italia
http://dati.senato.it/senatore/36424,Etelwardo,Sigismondi,M,19,2022-10-13,,elettivo,,1974-09-29,Vasto,Chieti,Italia
http://dati.senato.it/senatore/36445,Francesco,Silvestro,M,19,2022-10-13,,elettivo,,1971-10-22,ARZANO,Napoli,Italia
http://dati.senato.it/senatore/33137,Marco,Silvestroni,M,19,2022-10-13,,elettivo,,1962-11-08,Roma,Roma,Italia
http://dati.senato.it/senatore/36425,Elena,Sironi,F,19,2022-10-13,,elettivo,,1961-02-18,Milano,Milano,Italia
http://dati.senato.it/senatore/36446,Sandro,Sisler,M,19,2022-10-13,,elettivo,,1968-04-12,BOLLATE,Milano,Italia
http://dati.senato.it/senatore/22263,Francesco Paolo,Sisto,M,19,2022-10-13,,elettivo,,1955-04-27,Bari,Bari,Italia
http://dati.senato.it/senatore/36426,Luigi,Spagnolli,M,19,2022-10-13,,elettivo,,1960-02-10,Bolzano,Bolzano,Italia
http://dati.senato.it/senatore/36427,Nicoletta,Spelgatti,F,19,2022-10-13,,elettivo,,1971-07-28,Aosta,Aosta,Italia
http://dati.senato.it/senatore/36428,Raffaele,Speranzon,M,19,2022-10-13,,elettivo,,1971-10-07,Venezia,Venezia,Italia
http://dati.senato.it/senatore/36447,Domenica,Spinelli,F,19,2022-10-13,,elettivo,,1969-01-08,SAMMICHELE DI BARI,Bari,Italia
http://dati.senato.it/senatore/29185,Erika,Stefani,F,19,2022-10-13,,elettivo,,1971-07-18,Valdagno,Vicenza,Italia
http://dati.senato.it/senatore/37415,Daniela,Ternullo,F,19,2023-01-18,,elettivo,,1975-05-09,Siracusa,Siracusa,Italia
http://dati.senato.it/senatore/28550,Giuliomaria,Terzi Di Sant'Agata,M,19,2022-10-13,,elettivo,,1946-06-09,Bergamo,Bergamo,Italia
http://dati.senato.it/senatore/32721,Elena,Testor,F,19,2022-10-13,,elettivo,,1973-07-20,Cavalese,Trento,Italia
http://dati.senato.it/senatore/30915,Paolo,Tosato,M,19,2022-10-13,,elettivo,,1972-09-08,Negrar,Verona,Italia
http://dati.senato.it/senatore/36448,Antonio Salvatore,Trevisi,M,19,2022-10-13,,elettivo,,1976-01-26,COPERTINO,Lecce,Italia
http://dati.senato.it/senatore/36449,Francesca,Tubetti,F,19,2022-10-13,,elettivo,,1982-08-06,MONFALCONE,Gorizia,Italia
