"d","cognome","nome","info","dataNascita","luogoNascita","genere","ufficio","organo","inizioUfficio","fineUfficio","collegio","aggiornamento"
"http://dati.camera.it/ocd/deputato.rdf/d300674_19","ROSATO","ETTORE","Diploma di istituto tecnico commerciale; Dipendente di azienda privata","19680728","TRIESTE","male","CAPOGRUPPO","III COMMISSIONE (AFFARI ESTERI E COMUNITARI)","20221109",,"CAMPANIA 1 - P02",2023-04-30 12:01:11
"http://dati.camera.it/ocd/deputato.rdf/d301436_19","RAMPELLI","FABIO","Laurea in architettura; Architetto","19600802","ROMA","male","VICEPRESIDENTE","UFFICIO DI PRESIDENZA","20221019",,"LAZIO 1 - P01",2023-04-30 12:00:50
"http://dati.camera.it/ocd/deputato.rdf/d301436_19","RAMPELLI","FABIO","Laurea in architettura; Architetto","19600802","ROMA","male","PRESIDENTE","COMITATO PER GLI AFFARI DEL PERSONALE","20230220",,"LAZIO 1 - P01",2023-04-30 12:00:50
"http://dati.camera.it/ocd/deputato.rdf/d301439_19","CESA","LORENZO","Laurea in scienze politiche; Parlamentare","19510816","ARCINAZZO ROMANO","male","CAPOGRUPPO","IX COMMISSIONE (TRASPORTI, POSTE E TELECOMUNICAZIONI)","20221109",,"MOLISE - P01",2023-04-30 12:00:38
"http://dati.camera.it/ocd/deputato.rdf/d301541_19","COSTA","ENRICO","Laurea in giurisprudenza; Avvocato","19691129","CUNEO","male","PRESIDENTE","GIUNTA PER LE AUTORIZZAZIONI","20221116",,"LOMBARDIA 1 - P02",2023-03-06 12:00:31
"http://dati.camera.it/ocd/deputato.rdf/d301541_19","COSTA","ENRICO","Laurea in giurisprudenza; Avvocato","19691129","CUNEO","male","CAPOGRUPPO","GIUNTA PER LE AUTORIZZAZIONI","20221118",,"LOMBARDIA 1 - P02",2023-03-06 12:00:31
"http://dati.camera.it/ocd/deputato.rdf/d301541_19","COSTA","ENRICO","Laurea in giurisprudenza; Avvocato","19691129","CUNEO","male","PRESIDENTE","COMITATO PARLAMENTARE PER I PROCEDIMENTI DI ACCUSA","20221116",,"LOMBARDIA 1 - P02",2023-03-06 12:00:31
"http://dati.camera.it/ocd/deputato.rdf/d301541_19","COSTA","ENRICO","Laurea in giurisprudenza; Avvocato","19691129","CUNEO","male","CAPOGRUPPO","II COMMISSIONE (GIUSTIZIA)","20221109",,"LOMBARDIA 1 - P02",2023-03-06 12:00:31
"http://dati.camera.it/ocd/deputato.rdf/d301558_19","GARDINI","ELISABETTA","Diploma di liceo classico, Diploma alla bottega teatrale di Firenze di VIttorio Gassman; Attrice di teatro","19560603","PADOVA","female","PRESIDENTE","DELEGAZIONE PARLAMENTARE PRESSO L'ASSEMBLEA DEL CONSIGLIO D'EUROPA (CDE)","20230413",,"VENETO 2 - P01",2023-04-30 12:00:33
"http://dati.camera.it/ocd/deputato.rdf/d301577_19","DELLA VEDOVA","BENEDETTO","Ricercatore; Economista","19620403","SONDRIO","male","CAPOGRUPPO","GIUNTA DELLE ELEZIONI","20221118",,"LOMBARDIA 1 - P01",2023-03-06 12:00:56
"http://dati.camera.it/ocd/deputato.rdf/d301577_19","DELLA VEDOVA","BENEDETTO","Ricercatore; Economista","19620403","SONDRIO","male","SEGRETARIO","COMITATO PER LA COMUNICAZIONE E L'INFORMAZIONE ESTERNA","20230220",,"LOMBARDIA 1 - P01",2023-03-06 12:00:56
"http://dati.camera.it/ocd/deputato.rdf/d301577_19","DELLA VEDOVA","BENEDETTO","Ricercatore; Economista","19620403","SONDRIO","male","SEGRETARIO","UFFICIO DI PRESIDENZA","20221108",,"LOMBARDIA 1 - P01",2023-03-06 12:00:56
"http://dati.camera.it/ocd/deputato.rdf/d301577_19","DELLA VEDOVA","BENEDETTO","Ricercatore; Economista","19620403","SONDRIO","male","CAPOGRUPPO","III COMMISSIONE (AFFARI ESTERI E COMUNITARI)","20221109",,"LOMBARDIA 1 - P01",2023-03-06 12:00:56
"http://dati.camera.it/ocd/deputato.rdf/d302080_19","BONELLI","ANGELO","Diploma di istituto tecnico per geometri","19620730","ROMA","male","CAPOGRUPPO","COMMISSIONE PARLAMENTARE PER L'INDIRIZZO GENERALE E LA VIGILANZA DEI SERVIZI RADIOTELEVISIVI","20230404",,"EMILIA-ROMAGNA - P02",2023-04-30 12:01:04
"http://dati.camera.it/ocd/deputato.rdf/d302080_19","BONELLI","ANGELO","Diploma di istituto tecnico per geometri","19620730","ROMA","male","CAPOGRUPPO","VIII COMMISSIONE (AMBIENTE, TERRITORIO E LAVORI PUBBLICI)","20221109",,"EMILIA-ROMAGNA - P02",2023-04-30 12:01:04
"http://dati.camera.it/ocd/deputato.rdf/d302080_19","BONELLI","ANGELO","Diploma di istituto tecnico per geometri","19620730","ROMA","male","SEGRETARIO","VIII COMMISSIONE (AMBIENTE, TERRITORIO E LAVORI PUBBLICI)","20221109",,"EMILIA-ROMAGNA - P02",2023-04-30 12:01:04
"http://dati.camera.it/ocd/deputato.rdf/d302746_19","PELUFFO","VINICIO GIUSEPPE GUIDO","Laurea in scienze giuridiche; Dirigente di partito","19710321","RHO","male","CAPOGRUPPO","X COMMISSIONE (ATTIVITA'  PRODUTTIVE, COMMERCIO E TURISMO)","20221109",,"LOMBARDIA 3 - P01",2023-03-15 12:00:27
"http://dati.camera.it/ocd/deputato.rdf/d302754_19","BRAGA","CHIARA","Laurea in pianificazione territoriale, urbanistica ed ambientale; Urbanista","19790902","COMO","female","CAPOGRUPPO","CONFERENZA DEI PRESIDENTI DI GRUPPO","20230328",,"LOMBARDIA 2 - P02",2023-04-30 12:01:04
"http://dati.camera.it/ocd/deputato.rdf/d302754_19","BRAGA","CHIARA","Laurea in pianificazione territoriale, urbanistica ed ambientale; Urbanista","19790902","COMO","female","SEGRETARIO","UFFICIO DI PRESIDENZA","20221019",,"LOMBARDIA 2 - P02",2023-04-30 12:01:04
"http://dati.camera.it/ocd/deputato.rdf/d302754_19","BRAGA","CHIARA","Laurea in pianificazione territoriale, urbanistica ed ambientale; Urbanista","19790902","COMO","female","SEGRETARIO","COMITATO PER GLI AFFARI DEL PERSONALE","20230220",,"LOMBARDIA 2 - P02",2023-04-30 12:01:04
"http://dati.camera.it/ocd/deputato.rdf/d302764_19","COMAROLI","SILVANA ANDREINA","Laurea in economia e commercio; Responsabile amministrativo","19670327","SONCINO","female","SEGRETARIO","COMMISSIONE SPECIALE ISTITUITA IL 19 OTTOBRE 2022, AI SENSI DELL'ARTICOLO 22, COMMA 2, DEL REGOLAMENTO","20221024","20221109","LOMBARDIA 4 - P01",2022-11-26 12:00:21
"http://dati.camera.it/ocd/deputato.rdf/d302764_19","COMAROLI","SILVANA ANDREINA","Laurea in economia e commercio; Responsabile amministrativo","19670327","SONCINO","female","SEGRETARIO","UFFICIO PROVVISORIO DI PRESIDENZA","20221013","20221014","LOMBARDIA 4 - P01",2022-11-26 12:00:21
