"votazione","titolo","descrizione","numeroVotazione","cognome","nome","espressione","infoAssenza","deputato"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","ANNIBALI","LUCIA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307597_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","ANZALDI","MICHELE","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d305946_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","APREA","VALENTINA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d35050_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","APRILE","NADIA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307365_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","ARESTA","GIOVANNI LUCA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307368_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","ASCANI","ANNA","Non ha votato","In missione","http://dati.camera.it/ocd/deputato.rdf/d305704_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","ASCARI","STEFANIA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307302_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","AVOSSA","EVA","Non ha votato","In missione","http://dati.camera.it/ocd/deputato.rdf/d308521_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","AZZOLINA","LUCIA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307530_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","BADOLE","MIRCO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307691_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_634_001","Votazione finale PDL n. 3156-B","Modifiche agli articoli 9 e 41 della Costituzione in materia di tutela dell&amp;#39;ambiente (Approvata, in un testo unificato, in prima deliberazione, dal Senato e dalla Camera e approvata, in seconda deliberazione, con la maggioranza dei due terzi dei suoi componenti, dal Senato) (PDL 3156-B)","634001","BAGNASCO","ROBERTO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307134_18"
