"votazione","titolo","descrizione","numeroVotazione","cognome","nome","espressione","infoAssenza","deputato"
"http://dati.camera.it/ocd/votazione.rdf/vs18_245_017","Votazione finale PDL n.1939","Disposizioni per il recupero dei rifiuti in mare e nelle acque interne e per la promozione dell&amp;#39;economia circolare (""legge SalvaMare"") (DDL 1939 e abbinate PDL 907-1276)
    ","245017","ACQUAROLI","FRANCESCO","Astensione",,"http://dati.camera.it/ocd/deputato.rdf/d307171_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_245_017","Votazione finale PDL n.1939","Disposizioni per il recupero dei rifiuti in mare e nelle acque interne e per la promozione dell&amp;#39;economia circolare (""legge SalvaMare"") (DDL 1939 e abbinate PDL 907-1276)
    ","245017","ACUNZO","NICOLA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307538_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_245_017","Votazione finale PDL n.1939","Disposizioni per il recupero dei rifiuti in mare e nelle acque interne e per la promozione dell&amp;#39;economia circolare (""legge SalvaMare"") (DDL 1939 e abbinate PDL 907-1276)
    ","245017","ADELIZZI","COSIMO","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307559_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_245_017","Votazione finale PDL n.1939","Disposizioni per il recupero dei rifiuti in mare e nelle acque interne e per la promozione dell&amp;#39;economia circolare (""legge SalvaMare"") (DDL 1939 e abbinate PDL 907-1276)
    ","245017","AIELLO","PIERA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307119_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_245_017","Votazione finale PDL n.1939","Disposizioni per il recupero dei rifiuti in mare e nelle acque interne e per la promozione dell&amp;#39;economia circolare (""legge SalvaMare"") (DDL 1939 e abbinate PDL 907-1276)
    ","245017","AIELLO","DAVIDE","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307394_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_245_017","Votazione finale PDL n.1939","Disposizioni per il recupero dei rifiuti in mare e nelle acque interne e per la promozione dell&amp;#39;economia circolare (""legge SalvaMare"") (DDL 1939 e abbinate PDL 907-1276)
    ","245017","ALAIMO","ROBERTA","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307114_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_245_017","Votazione finale PDL n.1939","Disposizioni per il recupero dei rifiuti in mare e nelle acque interne e per la promozione dell&amp;#39;economia circolare (""legge SalvaMare"") (DDL 1939 e abbinate PDL 907-1276)
    ","245017","ALEMANNO","MARIA SOAVE","Favorevole",,"http://dati.camera.it/ocd/deputato.rdf/d307364_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_245_017","Votazione finale PDL n.1939","Disposizioni per il recupero dei rifiuti in mare e nelle acque interne e per la promozione dell&amp;#39;economia circolare (""legge SalvaMare"") (DDL 1939 e abbinate PDL 907-1276)
    ","245017","AMITRANO","ALESSANDRO","Non ha votato","In missione","http://dati.camera.it/ocd/deputato.rdf/d307206_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_245_017","Votazione finale PDL n.1939","Disposizioni per il recupero dei rifiuti in mare e nelle acque interne e per la promozione dell&amp;#39;economia circolare (""legge SalvaMare"") (DDL 1939 e abbinate PDL 907-1276)
    ","245017","ANDREUZZA","GIORGIA","Astensione",,"http://dati.camera.it/ocd/deputato.rdf/d307686_18"
"http://dati.camera.it/ocd/votazione.rdf/vs18_245_017","Votazione finale PDL n.1939","Disposizioni per il recupero dei rifiuti in mare e nelle acque interne e per la promozione dell&amp;#39;economia circolare (""legge SalvaMare"") (DDL 1939 e abbinate PDL 907-1276)
    ","245017","ANGELUCCI","ANTONIO","Non ha votato","Non ha partecipato","http://dati.camera.it/ocd/deputato.rdf/d302942_18"
